pair,frequency,course1,course2
"(519, 664)",9,519,664
"(514, 753)",9,514,753
"(742, 794)",9,742,794
"(553, 776)",9,553,776
"(566, 1185)",9,566,1185
"(489, 1128)",9,489,1128
"(503, 552)",9,503,552
"(502, 744)",9,502,744
"(764, 1115)",9,764,1115
"(361, 489)",9,361,489
"(755, 1115)",9,755,1115
"(367, 745)",9,367,745
"(508, 523)",9,508,523
"(503, 764)",9,503,764
"(363, 502)",9,363,502
"(551, 563)",9,551,563
"(519, 794)",9,519,794
"(363, 515)",9,363,515
"(490, 1116)",9,490,1116
"(490, 909)",9,490,909
"(523, 1184)",9,523,1184
"(570, 908)",9,570,908
"(777, 908)",9,777,908
"(361, 764)",9,361,764
"(366, 679)",9,366,679
"(516, 1146)",9,516,1146
"(908, 1124)",9,908,1124
"(1102, 1115)",9,1102,1115
"(359, 551)",9,359,551
"(814, 840)",9,814,840
"(742, 777)",9,742,777
"(794, 1101)",9,794,1101
"(515, 907)",9,515,907
"(664, 745)",9,664,745
"(777, 1101)",9,777,1101
"(366, 569)",9,366,569
"(504, 777)",9,504,777
"(517, 569)",9,517,569
"(757, 1103)",9,757,1103
"(519, 572)",9,519,572
"(840, 908)",9,840,908
"(566, 1129)",9,566,1129
"(679, 1129)",9,679,1129
"(515, 1116)",9,515,1116
"(741, 749)",9,741,749
"(518, 809)",9,518,809
"(514, 907)",9,514,907
"(368, 502)",9,368,502
"(368, 514)",9,368,514
"(489, 513)",9,489,513
"(504, 519)",9,504,519
"(513, 794)",9,513,794
"(743, 794)",9,743,794
"(551, 670)",9,551,670
"(551, 862)",8,551,862
"(552, 744)",8,552,744
"(356, 679)",8,356,679
"(509, 514)",8,509,514
"(515, 1144)",8,515,1144
"(566, 1144)",8,566,1144
"(514, 568)",8,514,568
"(764, 1125)",8,764,1125
"(552, 765)",8,552,765
"(829, 1125)",8,829,1125
"(568, 1147)",8,568,1147
"(361, 1100)",8,361,1100
"(514, 1144)",8,514,1144
"(523, 1144)",8,523,1144
"(552, 1161)",8,552,1161
"(515, 672)",8,515,672
"(552, 672)",8,552,672
"(863, 1100)",8,863,1100
"(664, 679)",8,664,679
"(366, 659)",8,366,659
"(363, 829)",8,363,829
"(664, 764)",8,664,764
"(507, 519)",8,507,519
"(765, 777)",8,765,777
"(765, 1144)",8,765,1144
"(664, 1103)",8,664,1103
"(664, 1141)",8,664,1141
"(840, 1102)",8,840,1102
"(361, 519)",8,361,519
"(516, 1147)",8,516,1147
"(1104, 1184)",8,1104,1184
"(551, 1101)",8,551,1101
"(519, 750)",8,519,750
"(552, 742)",8,552,742
"(489, 508)",8,489,508
"(523, 864)",8,523,864
"(502, 755)",8,502,755
"(503, 829)",8,503,829
"(523, 863)",8,523,863
"(515, 744)",8,515,744
"(566, 1156)",8,566,1156
"(659, 679)",8,659,679
"(566, 1102)",8,566,1102
"(753, 777)",8,753,777
"(356, 764)",8,356,764
"(519, 562)",8,519,562
"(513, 515)",8,513,515
"(366, 572)",8,366,572
"(523, 791)",8,523,791
"(518, 777)",8,518,777
"(909, 1100)",8,909,1100
"(551, 1184)",8,551,1184
"(741, 757)",8,741,757
"(511, 794)",8,511,794
"(357, 1103)",8,357,1103
"(357, 1100)",8,357,1100
"(361, 367)",8,361,367
"(551, 1156)",8,551,1156
"(776, 809)",8,776,809
"(490, 516)",8,490,516
"(564, 909)",8,564,909
"(570, 909)",8,570,909
"(553, 765)",8,553,765
"(563, 777)",8,563,777
"(562, 564)",8,562,564
"(764, 814)",8,764,814
"(552, 1128)",8,552,1128
"(1100, 1124)",8,1100,1124
"(362, 562)",8,362,562
"(571, 800)",8,571,800
"(363, 679)",8,363,679
"(511, 679)",8,511,679
"(679, 814)",8,679,814
"(366, 518)",8,366,518
"(367, 519)",8,367,519
"(517, 840)",8,517,840
"(794, 1152)",8,794,1152
"(756, 1103)",8,756,1103
"(357, 1186)",8,357,1186
"(741, 1102)",8,741,1102
"(570, 659)",8,570,659
"(519, 749)",8,519,749
"(562, 757)",8,562,757
"(489, 1124)",8,489,1124
"(679, 749)",8,679,749
"(749, 777)",8,749,777
"(794, 1116)",8,794,1116
"(908, 1115)",8,908,1115
"(514, 563)",8,514,563
"(489, 1129)",8,489,1129
"(563, 566)",8,563,566
"(368, 552)",8,368,552
"(489, 659)",8,489,659
"(757, 809)",8,757,809
"(356, 745)",8,356,745
"(564, 743)",8,564,743
"(794, 1156)",8,794,1156
"(514, 670)",8,514,670
"(356, 552)",7,356,552
"(357, 1144)",7,357,1144
"(745, 1101)",7,745,1101
"(1139, 1147)",7,1139,1147
"(776, 1144)",7,776,1144
"(551, 1139)",7,551,1139
"(551, 1187)",7,551,1187
"(519, 829)",7,519,829
"(509, 571)",7,509,571
"(564, 568)",7,564,568
"(564, 745)",7,564,745
"(571, 753)",7,571,753
"(571, 803)",7,571,803
"(357, 764)",7,357,764
"(764, 765)",7,764,765
"(764, 912)",7,764,912
"(776, 829)",7,776,829
"(912, 1100)",7,912,1100
"(750, 765)",7,750,765
"(361, 765)",7,361,765
"(367, 571)",7,367,571
"(515, 1099)",7,515,1099
"(814, 1116)",7,814,1116
"(829, 1115)",7,829,1115
"(840, 1101)",7,840,1101
"(564, 765)",7,564,765
"(765, 1186)",7,765,1186
"(360, 523)",7,360,523
"(517, 741)",7,517,741
"(551, 813)",7,551,813
"(741, 810)",7,741,810
"(741, 1124)",7,741,1124
"(357, 568)",7,357,568
"(777, 1138)",7,777,1138
"(750, 776)",7,750,776
"(753, 764)",7,753,764
"(519, 1102)",7,519,1102
"(1103, 1128)",7,1103,1128
"(366, 564)",7,366,564
"(564, 672)",7,564,672
"(750, 1115)",7,750,1115
"(776, 1138)",7,776,1138
"(908, 1140)",7,908,1140
"(489, 1156)",7,489,1156
"(515, 1141)",7,515,1141
"(523, 1141)",7,523,1141
"(517, 829)",7,517,829
"(511, 764)",7,511,764
"(514, 1101)",7,514,1101
"(664, 1100)",7,664,1100
"(776, 1100)",7,776,1100
"(359, 752)",7,359,752
"(755, 764)",7,755,764
"(566, 1140)",7,566,1140
"(503, 1100)",7,503,1100
"(1100, 1140)",7,1100,1140
"(551, 1145)",7,551,1145
"(517, 679)",7,517,679
"(489, 1145)",7,489,1145
"(357, 794)",7,357,794
"(503, 519)",7,503,519
"(664, 908)",7,664,908
"(679, 909)",7,679,909
"(507, 564)",7,507,564
"(752, 1102)",7,752,1102
"(829, 1156)",7,829,1156
"(517, 672)",7,517,672
"(508, 1184)",7,508,1184
"(523, 563)",7,523,563
"(794, 1115)",7,794,1115
"(1104, 1181)",7,1104,1181
"(366, 840)",7,366,840
"(1103, 1115)",7,1103,1115
"(361, 509)",7,361,509
"(551, 1188)",7,551,1188
"(1100, 1138)",7,1100,1138
"(552, 757)",7,552,757
"(517, 809)",7,517,809
"(829, 865)",7,829,865
"(363, 794)",7,363,794
"(366, 794)",7,366,794
"(569, 750)",7,569,750
"(572, 750)",7,572,750
"(489, 503)",7,489,503
"(679, 753)",7,679,753
"(515, 1156)",7,515,1156
"(502, 1152)",7,502,1152
"(776, 1102)",7,776,1102
"(511, 515)",7,511,515
"(745, 835)",7,745,835
"(503, 1141)",7,503,1141
"(502, 1138)",7,502,1138
"(366, 570)",7,366,570
"(566, 1184)",7,566,1184
"(502, 863)",7,502,863
"(664, 741)",7,664,741
"(361, 552)",7,361,552
"(562, 776)",7,562,776
"(777, 1152)",7,777,1152
"(569, 679)",7,569,679
"(764, 791)",7,764,791
"(366, 776)",7,366,776
"(366, 504)",7,366,504
"(357, 490)",7,357,490
"(741, 794)",7,741,794
"(742, 1188)",7,742,1188
"(745, 813)",7,745,813
"(359, 566)",7,359,566
"(363, 552)",7,363,552
"(517, 794)",7,517,794
"(359, 809)",7,359,809
"(664, 750)",7,664,750
"(908, 1129)",7,908,1129
"(361, 813)",7,361,813
"(752, 909)",7,752,909
"(357, 509)",7,357,509
"(358, 508)",7,358,508
"(504, 741)",7,504,741
"(553, 1103)",7,553,1103
"(490, 776)",7,490,776
"(791, 1103)",7,791,1103
"(562, 1152)",7,562,1152
"(363, 764)",7,363,764
"(507, 1100)",7,507,1100
"(570, 756)",7,570,756
"(756, 809)",7,756,809
"(502, 864)",7,502,864
"(502, 756)",7,502,756
"(507, 1181)",7,507,1181
"(909, 1124)",7,909,1124
"(777, 907)",7,777,907
"(551, 1161)",7,551,1161
"(515, 1101)",7,515,1101
"(552, 749)",7,552,749
"(564, 670)",7,564,670
"(809, 1156)",7,809,1156
"(504, 1100)",7,504,1100
"(363, 1103)",7,363,1103
"(756, 908)",7,756,908
"(514, 908)",7,514,908
"(508, 777)",7,508,777
"(794, 907)",7,794,907
"(757, 791)",7,757,791
"(752, 757)",7,752,757
"(511, 1100)",7,511,1100
"(504, 750)",7,504,750
"(502, 1102)",7,502,1102
"(552, 862)",6,552,862
"(865, 1103)",6,865,1103
"(1144, 1186)",6,1144,1186
"(366, 513)",6,366,513
"(517, 1100)",6,517,1100
"(1146, 1147)",6,1146,1147
"(776, 1125)",6,776,1125
"(509, 519)",6,509,519
"(519, 1099)",6,519,1099
"(553, 679)",6,553,679
"(490, 912)",6,490,912
"(523, 803)",6,523,803
"(357, 829)",6,357,829
"(552, 912)",6,552,912
"(659, 776)",6,659,776
"(745, 829)",6,745,829
"(360, 509)",6,360,509
"(509, 1187)",6,509,1187
"(1103, 1144)",6,1103,1144
"(489, 1161)",6,489,1161
"(564, 1115)",6,564,1115
"(564, 1161)",6,564,1161
"(659, 745)",6,659,745
"(551, 1147)",6,551,1147
"(572, 907)",6,572,907
"(366, 553)",6,366,553
"(553, 1102)",6,553,1102
"(659, 777)",6,659,777
"(745, 753)",6,745,753
"(517, 671)",6,517,671
"(517, 813)",6,517,813
"(523, 810)",6,523,810
"(523, 813)",6,523,813
"(523, 1124)",6,523,1124
"(659, 741)",6,659,741
"(741, 1128)",6,741,1128
"(502, 509)",6,502,509
"(523, 742)",6,523,742
"(571, 1138)",6,571,1138
"(912, 1138)",6,912,1138
"(1103, 1138)",6,1103,1138
"(1102, 1116)",6,1102,1116
"(367, 564)",6,367,564
"(777, 1125)",6,777,1125
"(745, 1138)",6,745,1138
"(366, 750)",6,366,750
"(507, 840)",6,507,840
"(366, 664)",6,366,664
"(742, 1140)",6,742,1140
"(367, 672)",6,367,672
"(569, 1102)",6,569,1102
"(519, 813)",6,519,813
"(516, 679)",6,516,679
"(553, 764)",6,553,764
"(366, 1144)",6,366,1144
"(672, 908)",6,672,908
"(551, 1181)",6,551,1181
"(519, 1115)",6,519,1115
"(764, 864)",6,764,864
"(566, 1145)",6,566,1145
"(744, 764)",6,744,764
"(909, 1103)",6,909,1103
"(564, 1156)",6,564,1156
"(566, 863)",6,566,863
"(503, 750)",6,503,750
"(672, 750)",6,672,750
"(741, 1103)",6,741,1103
"(863, 1125)",6,863,1125
"(359, 489)",6,359,489
"(366, 514)",6,366,514
"(363, 750)",6,363,750
"(507, 1103)",6,507,1103
"(745, 864)",6,745,864
"(518, 1100)",6,518,1100
"(568, 1146)",6,568,1146
"(364, 551)",6,364,551
"(509, 566)",6,509,566
"(752, 776)",6,752,776
"(566, 1128)",6,566,1128
"(570, 1102)",6,570,1102
"(753, 1100)",6,753,1100
"(367, 516)",6,367,516
"(523, 755)",6,523,755
"(367, 794)",6,367,794
"(909, 1115)",6,909,1115
"(515, 1138)",6,515,1138
"(367, 750)",6,367,750
"(514, 755)",6,514,755
"(366, 1128)",6,366,1128
"(513, 516)",6,513,516
"(907, 1102)",6,907,1102
"(551, 863)",6,551,863
"(679, 755)",6,679,755
"(366, 517)",6,366,517
"(516, 765)",6,516,765
"(519, 756)",6,519,756
"(502, 508)",6,502,508
"(366, 809)",6,366,809
"(553, 1146)",6,553,1146
"(358, 552)",6,358,552
"(514, 1181)",6,514,1181
"(517, 776)",6,517,776
"(502, 1128)",6,502,1128
"(489, 791)",6,489,791
"(507, 750)",6,507,750
"(517, 764)",6,517,764
"(489, 810)",6,489,810
"(679, 810)",6,679,810
"(1103, 1152)",6,1103,1152
"(679, 1152)",6,679,1152
"(504, 504)",6,504,504
"(514, 659)",6,514,659
"(519, 742)",6,519,742
"(517, 752)",6,517,752
"(357, 1138)",6,357,1138
"(750, 791)",6,750,791
"(359, 515)",6,359,515
"(363, 519)",6,363,519
"(566, 1124)",6,566,1124
"(504, 517)",6,504,517
"(516, 757)",6,516,757
"(750, 756)",6,750,756
"(572, 741)",6,572,741
"(569, 908)",6,569,908
"(908, 1128)",6,908,1128
"(368, 566)",6,368,566
"(511, 519)",6,511,519
"(764, 907)",6,764,907
"(368, 1161)",6,368,1161
"(566, 864)",6,566,864
"(794, 864)",6,794,864
"(572, 908)",6,572,908
"(366, 507)",6,366,507
"(750, 757)",6,750,757
"(552, 1129)",6,552,1129
"(741, 908)",6,741,908
"(507, 777)",6,507,777
"(358, 514)",6,358,514
"(552, 671)",6,552,671
"(358, 809)",6,358,809
"(490, 659)",6,490,659
"(514, 1116)",6,514,1116
"(814, 1100)",6,814,1100
"(840, 1124)",6,840,1124
"(507, 829)",6,507,829
"(1103, 1129)",6,1103,1129
"(569, 837)",6,569,837
"(356, 568)",6,356,568
"(508, 515)",6,508,515
"(508, 755)",6,508,755
"(552, 563)",6,552,563
"(513, 791)",6,513,791
"(503, 741)",6,503,741
"(509, 672)",5,509,672
"(1146, 1187)",5,1146,1187
"(1147, 1187)",5,1147,1187
"(366, 1125)",5,366,1125
"(509, 552)",5,509,552
"(552, 568)",5,552,568
"(552, 1099)",5,552,1099
"(551, 803)",5,551,803
"(765, 803)",5,765,803
"(571, 909)",5,571,909
"(659, 764)",5,659,764
"(552, 1186)",5,552,1186
"(360, 1099)",5,360,1099
"(360, 1187)",5,360,1187
"(366, 1100)",5,366,1100
"(509, 835)",5,509,835
"(1099, 1100)",5,1099,1100
"(1100, 1187)",5,1100,1187
"(912, 1103)",5,912,1103
"(672, 1147)",5,672,1147
"(840, 907)",5,840,907
"(571, 671)",5,571,671
"(502, 912)",5,502,912
"(515, 912)",5,515,912
"(367, 517)",5,367,517
"(551, 1124)",5,551,1124
"(564, 810)",5,564,810
"(571, 741)",5,571,741
"(741, 753)",5,741,753
"(744, 1128)",5,744,1128
"(765, 1103)",5,765,1103
"(672, 1139)",5,672,1139
"(516, 564)",5,516,564
"(745, 1144)",5,745,1144
"(679, 1128)",5,679,1128
"(776, 864)",5,776,864
"(553, 829)",5,553,829
"(1101, 1116)",5,1101,1116
"(366, 753)",5,366,753
"(1100, 1185)",5,1100,1185
"(357, 367)",5,357,367
"(516, 835)",5,516,835
"(829, 1102)",5,829,1102
"(1103, 1116)",5,1103,1116
"(519, 1140)",5,519,1140
"(777, 1144)",5,777,1144
"(513, 1185)",5,513,1185
"(679, 1125)",5,679,1125
"(519, 1141)",5,519,1141
"(519, 659)",5,519,659
"(794, 909)",5,794,909
"(908, 1184)",5,908,1184
"(519, 1101)",5,519,1101
"(507, 741)",5,507,741
"(362, 551)",5,362,551
"(358, 366)",5,358,366
"(358, 515)",5,358,515
"(864, 1125)",5,864,1125
"(523, 1138)",5,523,1138
"(765, 1138)",5,765,1138
"(679, 862)",5,679,862
"(523, 862)",5,523,862
"(829, 1140)",5,829,1140
"(367, 764)",5,367,764
"(517, 756)",5,517,756
"(516, 750)",5,516,750
"(753, 1125)",5,753,1125
"(750, 863)",5,750,863
"(750, 908)",5,750,908
"(829, 863)",5,829,863
"(863, 1138)",5,863,1138
"(516, 777)",5,516,777
"(553, 750)",5,553,750
"(568, 750)",5,568,750
"(367, 749)",5,367,749
"(489, 755)",5,489,755
"(552, 755)",5,552,755
"(743, 1103)",5,743,1103
"(365, 551)",5,365,551
"(490, 745)",5,490,745
"(490, 1102)",5,490,1102
"(361, 749)",5,361,749
"(364, 503)",5,364,503
"(509, 764)",5,509,764
"(570, 776)",5,570,776
"(794, 912)",5,794,912
"(490, 741)",5,490,741
"(517, 570)",5,517,570
"(363, 366)",5,363,366
"(366, 562)",5,366,562
"(670, 794)",5,670,794
"(356, 829)",5,356,829
"(356, 1100)",5,356,1100
"(562, 864)",5,562,864
"(794, 1128)",5,794,1128
"(794, 1144)",5,794,1144
"(1103, 1156)",5,1103,1156
"(361, 912)",5,361,912
"(502, 743)",5,502,743
"(571, 1198)",5,571,1198
"(513, 659)",5,513,659
"(513, 552)",5,513,552
"(359, 1115)",5,359,1115
"(907, 1100)",5,907,1100
"(907, 1116)",5,907,1116
"(367, 570)",5,367,570
"(741, 1100)",5,741,1100
"(752, 907)",5,752,907
"(366, 829)",5,366,829
"(519, 1128)",5,519,1128
"(672, 1128)",5,672,1128
"(361, 503)",5,361,503
"(571, 672)",5,571,672
"(664, 744)",5,664,744
"(741, 776)",5,741,776
"(741, 750)",5,741,750
"(515, 742)",5,515,742
"(777, 1161)",5,777,1161
"(356, 756)",5,356,756
"(764, 1156)",5,764,1156
"(359, 366)",5,359,366
"(750, 909)",5,750,909
"(503, 564)",5,503,564
"(813, 1138)",5,813,1138
"(664, 1128)",5,664,1128
"(1100, 1128)",5,1100,1128
"(777, 1116)",5,777,1116
"(511, 750)",5,511,750
"(508, 552)",5,508,552
"(764, 1152)",5,764,1152
"(745, 907)",5,745,907
"(568, 1100)",5,568,1100
"(1100, 1139)",5,1100,1139
"(361, 366)",5,361,366
"(1103, 1124)",5,1103,1124
"(742, 1100)",5,742,1100
"(515, 1140)",5,515,1140
"(909, 1102)",5,909,1102
"(518, 679)",5,518,679
"(489, 742)",5,489,742
"(367, 368)",5,367,368
"(756, 829)",5,756,829
"(364, 664)",5,364,664
"(504, 791)",5,504,791
"(504, 757)",5,504,757
"(515, 671)",5,515,671
"(569, 1101)",5,569,1101
"(809, 1101)",5,809,1101
"(745, 757)",5,745,757
"(552, 810)",5,552,810
"(757, 777)",5,757,777
"(507, 776)",5,507,776
"(366, 503)",5,366,503
"(356, 509)",5,356,509
"(503, 757)",5,503,757
"(753, 809)",5,753,809
"(813, 1100)",5,813,1100
"(566, 671)",5,566,671
"(502, 553)",5,502,553
"(515, 755)",5,515,755
"(562, 1160)",5,562,1160
"(356, 553)",5,356,553
"(829, 1124)",5,829,1124
"(519, 744)",5,519,744
"(517, 572)",5,517,572
"(670, 764)",5,670,764
"(907, 909)",5,907,909
"(752, 753)",5,752,753
"(515, 1129)",5,515,1129
"(564, 1129)",5,564,1129
"(566, 1161)",5,566,1161
"(777, 1129)",5,777,1129
"(840, 1129)",5,840,1129
"(741, 809)",5,741,809
"(358, 1115)",5,358,1115
"(742, 791)",5,742,791
"(664, 756)",5,664,756
"(572, 814)",5,572,814
"(814, 908)",5,814,908
"(507, 908)",5,507,908
"(490, 752)",5,490,752
"(744, 757)",5,744,757
"(837, 840)",5,837,840
"(518, 814)",5,518,814
"(750, 750)",5,750,750
"(744, 749)",5,744,749
"(511, 1103)",5,511,1103
"(504, 837)",5,504,837
"(508, 776)",5,508,776
"(503, 523)",5,503,523
"(490, 664)",5,490,664
"(502, 753)",5,502,753
"(794, 1185)",5,794,1185
"(513, 764)",5,513,764
"(753, 794)",5,753,794
"(514, 1156)",5,514,1156
"(563, 679)",5,563,679
"(757, 1128)",5,757,1128
"(490, 504)",5,490,504
"(502, 814)",5,502,814
"(670, 756)",5,670,756
"(562, 791)",5,562,791
"(568, 672)",4,568,672
"(552, 1138)",4,552,1138
"(800, 1125)",4,800,1125
"(356, 672)",4,356,672
"(679, 912)",4,679,912
"(517, 1144)",4,517,1144
"(523, 1187)",4,523,1187
"(523, 671)",4,523,671
"(489, 1099)",4,489,1099
"(523, 1099)",4,523,1099
"(553, 564)",4,553,564
"(568, 679)",4,568,679
"(776, 912)",4,776,912
"(514, 1125)",4,514,1125
"(803, 1125)",4,803,1125
"(357, 776)",4,357,776
"(659, 829)",4,659,829
"(765, 829)",4,765,829
"(776, 909)",4,776,909
"(489, 912)",4,489,912
"(514, 912)",4,514,912
"(366, 765)",4,366,765
"(360, 366)",4,360,366
"(509, 777)",4,509,777
"(509, 1100)",4,509,1100
"(835, 1099)",4,835,1099
"(741, 752)",4,741,752
"(741, 1115)",4,741,1115
"(829, 1116)",4,829,1116
"(1115, 1116)",4,1115,1116
"(361, 517)",4,361,517
"(504, 1101)",4,504,1101
"(553, 907)",4,553,907
"(572, 1101)",4,572,1101
"(907, 1101)",4,907,1101
"(753, 765)",4,753,765
"(564, 912)",4,564,912
"(517, 1128)",4,517,1128
"(564, 671)",4,564,671
"(564, 744)",4,564,744
"(514, 672)",4,514,672
"(553, 672)",4,553,672
"(519, 1187)",4,519,1187
"(515, 810)",4,515,810
"(516, 810)",4,516,810
"(745, 810)",4,745,810
"(794, 810)",4,794,810
"(357, 908)",4,357,908
"(908, 912)",4,908,912
"(357, 672)",4,357,672
"(829, 1128)",4,829,1128
"(672, 1103)",4,672,1103
"(568, 829)",4,568,829
"(765, 908)",4,765,908
"(504, 745)",4,504,745
"(363, 507)",4,363,507
"(511, 829)",4,511,829
"(1102, 1128)",4,1102,1128
"(356, 1103)",4,356,1103
"(366, 1141)",4,366,1141
"(514, 742)",4,514,742
"(514, 1140)",4,514,1140
"(509, 794)",4,509,794
"(562, 829)",4,562,829
"(356, 777)",4,356,777
"(568, 764)",4,568,764
"(517, 908)",4,517,908
"(361, 1187)",4,361,1187
"(908, 1104)",4,908,1104
"(664, 1101)",4,664,1101
"(570, 741)",4,570,741
"(776, 1101)",4,776,1101
"(664, 1102)",4,664,1102
"(509, 1125)",4,509,1125
"(568, 776)",4,568,776
"(516, 1100)",4,516,1100
"(671, 777)",4,671,777
"(672, 764)",4,672,764
"(862, 1100)",4,862,1100
"(552, 1140)",4,552,1140
"(777, 1140)",4,777,1140
"(367, 1100)",4,367,1100
"(679, 863)",4,679,863
"(502, 1145)",4,502,1145
"(515, 1145)",4,515,1145
"(552, 1145)",4,552,1145
"(744, 777)",4,744,777
"(777, 1145)",4,777,1145
"(503, 503)",4,503,503
"(794, 1104)",4,794,1104
"(551, 1186)",4,551,1186
"(564, 863)",4,564,863
"(664, 1156)",4,664,1156
"(863, 1185)",4,863,1185
"(908, 1156)",4,908,1156
"(750, 1140)",4,750,1140
"(764, 1138)",4,764,1138
"(741, 745)",4,741,745
"(517, 562)",4,517,562
"(908, 1138)",4,908,1138
"(366, 749)",4,366,749
"(566, 755)",4,566,755
"(755, 777)",4,755,777
"(490, 753)",4,490,753
"(523, 1181)",4,523,1181
"(357, 360)",4,357,360
"(863, 864)",4,863,864
"(863, 909)",4,863,909
"(664, 776)",4,664,776
"(570, 1152)",4,570,1152
"(794, 1140)",4,794,1140
"(745, 756)",4,745,756
"(1102, 1125)",4,1102,1125
"(507, 659)",4,507,659
"(659, 752)",4,659,752
"(777, 1128)",4,777,1128
"(367, 679)",4,367,679
"(367, 777)",4,367,777
"(776, 1115)",4,776,1115
"(909, 1152)",4,909,1152
"(1115, 1152)",4,1115,1152
"(513, 517)",4,513,517
"(672, 794)",4,672,794
"(776, 908)",4,776,908
"(794, 1102)",4,794,1102
"(515, 862)",4,515,862
"(514, 814)",4,514,814
"(1099, 1103)",4,1099,1103
"(755, 776)",4,755,776
"(516, 659)",4,516,659
"(553, 659)",4,553,659
"(553, 835)",4,553,835
"(511, 741)",4,511,741
"(1141, 1185)",4,1141,1185
"(509, 515)",4,509,515
"(659, 1103)",4,659,1103
"(515, 863)",4,515,863
"(776, 863)",4,776,863
"(367, 572)",4,367,572
"(829, 1184)",4,829,1184
"(515, 1184)",4,515,1184
"(502, 1144)",4,502,1144
"(750, 865)",4,750,865
"(1100, 1152)",4,1100,1152
"(509, 765)",4,509,765
"(568, 765)",4,568,765
"(502, 563)",4,502,563
"(516, 912)",4,516,912
"(568, 912)",4,568,912
"(568, 1103)",4,568,1103
"(752, 752)",4,752,752
"(517, 1115)",4,517,1115
"(756, 776)",4,756,776
"(829, 1141)",4,829,1141
"(563, 1103)",4,563,1103
"(356, 659)",4,356,659
"(562, 570)",4,562,570
"(1128, 1141)",4,1128,1141
"(359, 519)",4,359,519
"(571, 1116)",4,571,1116
"(502, 1140)",4,502,1140
"(489, 1184)",4,489,1184
"(564, 1152)",4,564,1152
"(679, 744)",4,679,744
"(742, 745)",4,742,745
"(1100, 1188)",4,1100,1188
"(523, 670)",4,523,670
"(837, 1161)",4,837,1161
"(502, 1116)",4,502,1116
"(367, 503)",4,367,503
"(364, 515)",4,364,515
"(679, 1115)",4,679,1115
"(514, 1152)",4,514,1152
"(776, 1128)",4,776,1128
"(553, 912)",4,553,912
"(1100, 1141)",4,1100,1141
"(357, 1099)",4,357,1099
"(1099, 1125)",4,1099,1125
"(552, 1156)",4,552,1156
"(745, 909)",4,745,909
"(357, 803)",4,357,803
"(566, 1186)",4,566,1186
"(361, 490)",4,361,490
"(765, 1100)",4,765,1100
"(490, 1129)",4,490,1129
"(514, 1161)",4,514,1161
"(359, 502)",4,359,502
"(359, 514)",4,359,514
"(566, 800)",4,566,800
"(679, 757)",4,679,757
"(569, 909)",4,569,909
"(518, 569)",4,518,569
"(358, 489)",4,358,489
"(359, 367)",4,359,367
"(366, 813)",4,366,813
"(517, 1103)",4,517,1103
"(672, 1101)",4,672,1101
"(750, 1101)",4,750,1101
"(809, 813)",4,809,813
"(813, 1101)",4,813,1101
"(813, 1103)",4,813,1103
"(764, 863)",4,764,863
"(764, 908)",4,764,908
"(504, 756)",4,504,756
"(756, 840)",4,756,840
"(490, 490)",4,490,490
"(750, 907)",4,750,907
"(750, 840)",4,750,840
"(750, 1116)",4,750,1116
"(367, 518)",4,367,518
"(777, 813)",4,777,813
"(563, 1160)",4,563,1160
"(503, 745)",4,503,745
"(523, 1152)",4,523,1152
"(569, 659)",4,569,659
"(764, 1144)",4,764,1144
"(791, 1140)",4,791,1140
"(490, 1156)",4,490,1156
"(515, 670)",4,515,670
"(907, 1115)",4,907,1115
"(909, 1116)",4,909,1116
"(777, 791)",4,777,791
"(791, 829)",4,791,829
"(552, 552)",4,552,552
"(572, 1129)",4,572,1129
"(363, 1102)",4,363,1102
"(756, 1124)",4,756,1124
"(562, 809)",4,562,809
"(523, 1186)",4,523,1186
"(794, 1181)",4,794,1181
"(753, 840)",4,753,840
"(489, 671)",4,489,671
"(366, 752)",4,366,752
"(519, 569)",4,519,569
"(356, 1186)",4,356,1186
"(1186, 1187)",4,1186,1187
"(552, 743)",4,552,743
"(743, 764)",4,743,764
"(569, 672)",4,569,672
"(518, 572)",4,518,572
"(363, 564)",4,363,564
"(764, 1101)",4,764,1101
"(794, 1145)",4,794,1145
"(551, 1129)",4,551,1129
"(570, 814)",4,570,814
"(563, 776)",4,563,776
"(563, 764)",4,563,764
"(1100, 1104)",4,1100,1104
"(517, 518)",4,517,518
"(908, 1145)",4,908,1145
"(504, 562)",4,504,562
"(507, 511)",4,507,511
"(502, 518)",4,502,518
"(490, 813)",4,490,813
"(745, 803)",4,745,803
"(490, 672)",4,490,672
"(794, 1186)",4,794,1186
"(490, 508)",4,490,508
"(756, 1116)",4,756,1116
"(508, 794)",4,508,794
"(563, 757)",4,563,757
"(756, 814)",4,756,814
"(356, 1138)",4,356,1138
"(757, 764)",4,757,764
"(829, 840)",4,829,840
"(814, 830)",4,814,830
"(862, 1138)",3,862,1138
"(564, 865)",3,564,865
"(367, 513)",3,367,513
"(672, 679)",3,672,679
"(672, 912)",3,672,912
"(1099, 1146)",3,1099,1146
"(912, 1099)",3,912,1099
"(509, 679)",3,509,679
"(357, 659)",3,357,659
"(357, 909)",3,357,909
"(659, 1125)",3,659,1125
"(765, 909)",3,765,909
"(829, 912)",3,829,912
"(909, 912)",3,909,912
"(909, 1125)",3,909,1125
"(672, 1099)",3,672,1099
"(1100, 1186)",3,1100,1186
"(909, 1186)",3,909,1186
"(571, 907)",3,571,907
"(514, 862)",3,514,862
"(517, 553)",3,517,553
