pair,frequency,course1,course2
"(502, 570)",35,502,570
"(552, 750)",35,552,750
"(490, 518)",35,490,518
"(514, 564)",35,514,564
"(519, 566)",35,519,566
"(513, 1141)",34,513,1141
"(356, 912)",34,356,912
"(765, 912)",34,765,912
"(502, 764)",34,502,764
"(551, 829)",34,551,829
"(551, 791)",34,551,791
"(551, 757)",34,551,757
"(490, 757)",34,490,757
"(742, 1141)",34,742,1141
"(363, 563)",33,363,563
"(1100, 1103)",33,1100,1103
"(552, 764)",33,552,764
"(523, 741)",33,523,741
"(552, 572)",33,552,572
"(679, 764)",33,679,764
"(361, 502)",33,361,502
"(570, 755)",33,570,755
"(514, 572)",33,514,572
"(363, 551)",33,363,551
"(490, 1103)",33,490,1103
"(509, 1099)",32,509,1099
"(745, 1187)",32,745,1187
"(523, 1100)",32,523,1100
"(515, 745)",32,515,745
"(515, 750)",32,515,750
"(515, 664)",32,515,664
"(566, 756)",32,566,756
"(750, 829)",32,750,829
"(809, 908)",32,809,908
"(551, 756)",32,551,756
"(514, 777)",32,514,777
"(564, 1100)",31,564,1100
"(552, 570)",31,552,570
"(490, 552)",31,490,552
"(566, 829)",31,566,829
"(504, 515)",31,504,515
"(552, 829)",30,552,829
"(489, 752)",30,489,752
"(564, 764)",30,564,764
"(564, 794)",30,564,794
"(551, 1115)",30,551,1115
"(516, 566)",30,516,566
"(566, 776)",29,566,776
"(519, 745)",29,519,745
"(366, 490)",29,366,490
"(752, 1184)",29,752,1184
"(514, 679)",29,514,679
"(840, 1145)",29,840,1145
"(368, 572)",29,368,572
"(504, 523)",29,504,523
"(502, 564)",28,502,564
"(489, 745)",28,489,745
"(518, 523)",28,518,523
"(564, 741)",28,564,741
"(489, 504)",28,489,504
"(489, 517)",28,489,517
"(551, 753)",28,551,753
"(357, 514)",28,357,514
"(507, 515)",28,507,515
"(489, 908)",28,489,908
"(572, 1161)",28,572,1161
"(523, 562)",28,523,562
"(764, 794)",28,764,794
"(809, 1100)",28,809,1100
"(562, 777)",28,562,777
"(553, 1139)",27,553,1139
"(1125, 1186)",27,1125,1186
"(571, 1144)",27,571,1144
"(523, 829)",27,523,829
"(553, 1187)",27,553,1187
"(777, 794)",27,777,794
"(517, 523)",27,517,523
"(570, 1184)",27,570,1184
"(514, 757)",27,514,757
"(366, 566)",27,366,566
"(368, 569)",27,368,569
"(504, 794)",27,504,794
"(743, 757)",27,743,757
"(356, 489)",26,356,489
"(519, 679)",26,519,679
"(745, 1147)",26,745,1147
"(552, 571)",26,552,571
"(515, 517)",26,515,517
"(552, 840)",26,552,840
"(502, 776)",26,502,776
"(564, 908)",26,564,908
"(507, 1184)",26,507,1184
"(515, 569)",26,515,569
"(570, 794)",26,570,794
"(566, 908)",26,566,908
"(502, 809)",26,502,809
"(551, 1152)",26,551,1152
"(552, 756)",26,552,756
"(514, 840)",26,514,840
"(516, 1099)",25,516,1099
"(366, 367)",25,366,367
"(489, 516)",25,489,516
"(672, 745)",25,672,745
"(552, 741)",25,552,741
"(552, 752)",25,552,752
"(564, 814)",25,564,814
"(516, 523)",25,516,523
"(489, 507)",25,489,507
"(514, 1103)",25,514,1103
"(515, 741)",25,515,741
"(664, 791)",25,664,791
"(515, 518)",25,515,518
"(552, 794)",25,552,794
"(515, 752)",25,515,752
"(358, 570)",25,358,570
"(566, 791)",25,566,791
"(562, 566)",25,562,566
"(490, 1152)",25,490,1152
"(502, 504)",25,502,504
"(356, 523)",24,356,523
"(552, 1100)",24,552,1100
"(551, 568)",24,551,568
"(566, 1100)",24,566,1100
"(564, 571)",24,564,571
"(523, 776)",24,523,776
"(551, 1125)",24,551,1125
"(357, 912)",24,357,912
"(523, 909)",24,523,909
"(750, 794)",24,750,794
"(502, 679)",24,502,679
"(517, 753)",24,517,753
"(679, 741)",24,679,741
"(366, 552)",24,366,552
"(551, 814)",24,551,814
"(514, 750)",24,514,750
"(566, 664)",24,566,664
"(515, 572)",24,515,572
"(764, 777)",24,764,777
"(552, 809)",24,552,809
"(764, 809)",24,764,809
"(489, 749)",24,489,749
"(566, 743)",24,566,743
"(519, 571)",23,519,571
"(551, 765)",23,551,765
"(361, 672)",23,361,672
"(367, 489)",23,367,489
"(523, 1115)",23,523,1115
"(504, 552)",23,504,552
"(1100, 1101)",23,1100,1101
"(517, 552)",23,517,552
"(489, 757)",23,489,757
"(515, 840)",23,515,840
"(502, 507)",23,502,507
"(368, 504)",23,368,504
"(368, 523)",23,368,523
"(515, 757)",23,515,757
"(515, 756)",23,515,756
"(368, 840)",23,368,840
"(357, 502)",23,357,502
"(514, 749)",23,514,749
"(517, 566)",22,517,566
"(1125, 1144)",22,1125,1144
"(571, 745)",22,571,745
"(568, 1139)",22,568,1139
"(516, 519)",22,516,519
"(764, 776)",22,764,776
"(489, 840)",22,489,840
"(564, 777)",22,564,777
"(776, 777)",22,776,777
"(752, 1104)",22,752,1104
"(503, 742)",22,503,742
"(659, 750)",22,659,750
"(794, 840)",22,794,840
"(513, 742)",22,513,742
"(664, 1140)",22,664,1140
"(571, 794)",22,571,794
"(752, 755)",22,752,755
"(508, 514)",22,508,514
"(570, 1103)",22,570,1103
"(514, 829)",22,514,829
"(367, 566)",22,367,566
"(489, 518)",22,489,518
"(514, 756)",22,514,756
"(566, 659)",22,566,659
